gid_1,name_1,hasc_1,year,pm25_mean,pm25_std,pm25_min,pm25_max,n_pixels
VNM.1_1,AnGiang,VN.AG,2020,20.34919108800275,1.0069286565613134,18.100000381469727,23.0,2909
VNM.7_1,BàRịa-VũngTàu,VN.BV,2020,16.836607641103317,1.683431170114308,13.399999618530273,23.600000381469727,1568
VNM.3_1,BắcGiang,VN.BG,2020,26.772918971238937,3.5647915267449664,21.600000381469727,35.900001525878906,3390
VNM.4_1,BắcKạn,VN.BK,2020,25.56799531066823,1.1748558932699955,23.0,28.899999618530273,4265
VNM.2_1,BạcLiêu,VN.BL,2020,18.47966677922397,0.6996554683773306,15.399999618530273,20.5,2036
VNM.5_1,BắcNinh,VN.BN,2020,35.168160501402525,1.1297999331523563,32.099998474121094,37.20000076293945,713
VNM.6_1,BếnTre,VN.BR,2020,19.192579757706373,0.9882577593912943,15.0,22.100000381469727,1914
VNM.8_1,BìnhĐịnh,VN.BD,2020,15.065816918443918,1.2822223702442168,11.0,18.600000381469727,5064
VNM.9_1,BìnhDương,VN.BI,2020,21.868432869330938,2.7663487905567488,18.299999237060547,30.700000762939453,2227
VNM.10_1,BìnhPhước,VN.BP,2020,19.786576079785362,1.0588411516110854,16.600000381469727,23.100000381469727,5684
VNM.11_1,BìnhThuận,VN.BU,2020,16.34327633528339,1.7262260525129882,9.699999809265137,22.0,6581
VNM.13_1,CàMau,VN.CM,2020,18.306980757931846,1.0216369727460013,13.699999809265137,21.100000381469727,4255
VNM.12_1,CầnThơ,VN.CN,2020,21.128689964345636,0.7516306394817136,17.5,22.600000381469727,1192
VNM.14_1,CaoBằng,VN.CB,2020,25.481584916059013,1.7559047983006872,22.700000762939453,31.0,5897
VNM.19_1,ĐàNẵng,VN.DA,2020,15.913780249618902,1.5107235598780493,11.399999618530273,19.399999618530273,820
VNM.15_1,ĐắkLắk,VN.DC,2020,19.180436900479616,1.1949488099009804,15.0,24.299999237060547,10842
VNM.16_1,ĐắkNông,VN.DO,2020,19.632203752544882,1.0058901563812104,17.5,22.799999237060547,5403
VNM.20_1,ĐiệnBiên,VN.DB,2020,31.661273533671253,1.3625106099157933,28.399999618530273,37.20000076293945,8286
VNM.17_1,ĐồngNai,VN.DN,2020,20.24465634241656,2.9328378351129056,15.800000190734863,29.700000762939453,4734
VNM.18_1,ĐồngTháp,VN.DT,2020,20.561169437970598,1.0758645855576994,18.200000762939453,22.899999618530273,2789
VNM.21_1,GiaLai,VN.GL,2020,18.5250484552187,1.3238441012950664,15.199999809265137,26.399999618530273,12963
VNM.26_1,HàGiang,VN.HG,2020,30.12488339552239,2.1488704418680236,24.700000762939453,35.900001525878906,6968
VNM.28_1,HàNam,VN.HM,2020,33.76417901131824,2.1368576029569764,30.200000762939453,40.5,751
VNM.27_1,HàNội,VN.HI,2020,38.02269971239698,1.7266127302827505,32.599998474121094,43.70000076293945,2912
VNM.29_1,HàTĩnh,VN.HT,2020,21.35111607142857,2.8499661306148827,14.5,27.299999237060547,5110
VNM.22_1,HảiDương,VN.HD,2020,30.708603965932554,1.8803732539068012,25.399999618530273,35.70000076293945,1453
VNM.23_1,HảiPhòng,VN.HP,2020,25.72351509443973,2.9228533849946596,15.300000190734863,29.100000381469727,1178
VNM.24_1,HậuGiang,VN.HU,2020,19.335269286925396,0.5313740075733877,17.399999618530273,20.600000381469727,1327
VNM.25_1,HồChíMinh,VN.HC,2020,25.364072099912228,3.3293764821464613,17.100000381469727,30.899999618530273,1709
VNM.30_1,HoàBình,VN.HO,2020,30.50997072525812,1.9258964440406878,26.0,39.400001525878906,3971
VNM.31_1,HưngYên,VN.HY,2020,34.36521739130435,1.6138399770215295,30.200000762939453,37.20000076293945,805
VNM.32_1,KhánhHòa,VN.KH,2020,16.21827917916979,1.5663993151108382,8.800000190734863,20.100000381469727,3999
VNM.33_1,KiênGiang,VN.KG,2020,18.93952423024787,1.536419702388979,12.0,21.0,5164
VNM.34_1,KonTum,VN.KT,2020,19.366118299160078,1.4996654908095066,15.199999809265137,26.299999237060547,8096
VNM.36_1,LaiChâu,VN.LI,2020,32.34393287503146,1.8893335467825298,25.5,37.79999923706055,7946
VNM.37_1,LâmĐồng,VN.LD,2020,18.713573100135484,0.8486924534354368,15.199999809265137,21.899999618530273,8119
VNM.35_1,LạngSơn,VN.LS,2020,24.299227266455084,1.034796541371511,21.100000381469727,27.600000381469727,7247
VNM.38_1,LàoCai,VN.LO,2020,32.41690404629463,3.388578893961488,26.0,40.5,5573
VNM.39_1,LongAn,VN.LA,2020,22.095520777118185,1.9830981384247157,18.299999237060547,27.600000381469727,3706
VNM.40_1,NamĐịnh,VN.ND,2020,27.017997664187227,2.799695925727919,19.700000762939453,33.0,1378
VNM.41_1,NghệAn,VN.NA,2020,27.531190337293168,2.0174740801156013,21.0,33.099998474121094,14142
VNM.42_1,NinhBình,VN.NB,2020,30.063958513396717,2.463259350617914,25.600000381469727,36.0,1157
VNM.43_1,NinhThuận,VN.NT,2020,16.014606829573935,1.736691913711726,11.5,20.5,2793
VNM.44_1,PhúThọ,VN.PT,2020,35.25795971410007,2.520085680852829,29.0,39.70000076293945,3078
VNM.45_1,PhúYên,VN.PY,2020,15.003439776391211,1.7321356482761472,10.600000381469727,20.399999618530273,4187
VNM.46_1,QuảngBình,VN.QB,2020,17.78708060179729,0.8981448971879669,14.899999618530273,20.200000762939453,6788
VNM.47_1,QuảngNam,VN.QM,2020,17.296792643265672,1.332322117649648,10.399999618530273,20.799999237060547,8917
VNM.48_1,QuảngNgãi,VN.QG,2020,14.975494623733303,1.1730283846947696,9.199999809265137,17.899999618530273,4342
VNM.49_1,QuảngNinh,VN.QN,2020,22.199372792819304,1.8767349860440468,13.5,29.200000762939453,5097
VNM.50_1,QuảngTrị,VN.QT,2020,19.02691993986694,1.1420845994380606,13.899999618530273,22.100000381469727,3908
VNM.51_1,SócTrăng,VN.ST,2020,18.297188598316684,0.8386824923028048,15.699999809265137,20.899999618530273,2703
VNM.52_1,SơnLa,VN.SL,2020,30.001237775061124,2.0507549299936216,25.100000381469727,37.599998474121094,12270
VNM.53_1,TâyNinh,VN.TN,2020,19.38141188063063,1.6033447868061406,14.899999618530273,24.100000381469727,3330
VNM.55_1,TháiBình,VN.TB,2020,26.84809215262779,2.4285450572127574,19.700000762939453,32.0,1389
VNM.56_1,TháiNguyên,VN.TY,2020,29.01995457495133,2.356444398896545,23.899999618530273,34.599998474121094,3082
VNM.57_1,ThanhHóa,VN.TH,2020,28.137790758318555,2.5786588399448926,19.399999618530273,35.0,9587
VNM.54_1,ThừaThiênHuế,VN.TT,2020,16.309856489808155,1.3819116554864659,11.800000190734863,20.600000381469727,4170
VNM.58_1,TiềnGiang,VN.TG,2020,20.9513654101365,0.8875447819842175,17.5,23.399999618530273,1978
VNM.59_1,TràVinh,VN.TV,2020,17.67483821754292,0.6125257172631154,14.399999618530273,20.200000762939453,1864
VNM.60_1,TuyênQuang,VN.TQ,2020,28.91622781353618,2.2818287822137524,24.399999618530273,35.099998474121094,5127
VNM.61_1,VĩnhLong,VN.VL,2020,19.98621451693227,1.0302405736679459,16.700000762939453,22.5,1255
VNM.62_1,VĩnhPhúc,VN.VC,2020,36.67733936095506,2.8025890628922125,30.0,41.599998474121094,1068
VNM.63_1,YênBái,VN.YB,2020,31.315033924408926,2.803709039297377,25.600000381469727,37.099998474121094,6006
VNM.1_1,AnGiang,VN.AG,2021,18.919284709092473,1.0938573554084998,16.600000381469727,22.100000381469727,2909
VNM.7_1,BàRịa-VũngTàu,VN.BV,2021,17.184630102040817,1.6381764720648342,13.899999618530273,23.899999618530273,1568
VNM.3_1,BắcGiang,VN.BG,2021,25.970353982300885,3.512808864349786,20.5,34.599998474121094,3390
VNM.4_1,BắcKạn,VN.BK,2021,25.5052754982415,0.8385063537526687,23.700000762939453,28.399999618530273,4265
VNM.2_1,BạcLiêu,VN.BL,2021,18.54307427247053,0.7152466526595899,15.100000381469727,20.600000381469727,2036
VNM.5_1,BắcNinh,VN.BN,2021,33.826927923387096,0.9896541080175106,30.899999618530273,35.70000076293945,713
VNM.6_1,BếnTre,VN.BR,2021,19.379363407784744,0.9127893351056139,15.5,23.200000762939453,1914
VNM.8_1,BìnhĐịnh,VN.BD,2021,15.569747852488153,1.3083011545594132,11.5,19.399999618530273,5064
VNM.9_1,BìnhDương,VN.BI,2021,22.35347966715312,3.03785875491121,18.5,32.0,2227
VNM.10_1,BìnhPhước,VN.BP,2021,20.34338439039409,1.0098025265787667,17.399999618530273,24.200000762939453,5684
VNM.11_1,BìnhThuận,VN.BU,2021,17.12528609823735,1.8424444401699092,9.800000190734863,23.100000381469727,6581
VNM.13_1,CàMau,VN.CM,2021,18.169847972972974,1.081794795514143,13.800000190734863,21.200000762939453,4255
VNM.12_1,CầnThơ,VN.CN,2021,20.214932230494966,0.8004372613383665,16.899999618530273,22.0,1192
VNM.14_1,CaoBằng,VN.CB,2021,26.05145094963541,1.5088046293839183,23.600000381469727,30.399999618530273,5897
VNM.19_1,ĐàNẵng,VN.DA,2021,16.523416063262196,1.5462110936061464,11.899999618530273,19.600000381469727,820
VNM.15_1,ĐắkLắk,VN.DC,2021,20.276969770337576,1.539807487562897,15.5,26.100000381469727,10842
VNM.16_1,ĐắkNông,VN.DO,2021,20.69890859244864,1.2947968672091943,18.0,24.899999618530273,5403
VNM.20_1,ĐiệnBiên,VN.DB,2021,29.39622178976587,1.6254927958766352,24.799999237060547,34.70000076293945,8286
VNM.17_1,ĐồngNai,VN.DN,2021,20.957013096746937,2.933604893895677,16.0,31.0,4734
